Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
26158247,"Last Light (Ashley Bell, #0.25)",Dean Koontz,"Koontz, Dean",,"=""""","=""""",4,4.15,Bantam,Kindle Edition,90,2015,2015,2015/12/30,2015/12/30,,,read,,,,1,,,0,,,,,
25387351,"Rogue Lawyer (Rogue Lawyer, #1)",John Grisham,"Grisham, John",,"=""0385539436""","=""9780385539432""",3,3.71,Doubleday,Hardcover,344,2015,2015,2015/11/27,2015/12/03,,,read,,,,1,,,0,,,,,
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",4,4.40,Crown,Hardcover,369,2014,2012,2015/11/18,2015/11/19,,,read,,,,1,,,0,,,,,
20767918,"The Escape (John Puller, #3)",David Baldacci,"Baldacci, David",,"=""1455521191""","=""9781455521197""",4,4.15,Grand Central Publishing,Hardcover,470,2014,2014,2015/11/18,2015/11/17,,,read,,,,1,,,0,,,,,
23395719,Becoming Steve Jobs: The Evolution of a Reckless Upstart into a Visionary Leader,Brent Schlender,"Schlender, Brent",Rick Tetzeli,"=""0771079141""","=""9780771079146""",4,4.19,Signal,Hardcover,464,2015,2015,2015/10/20,2015/10/22,,,read,,,,1,,,0,,,,,
22557272,The Girl on the Train,Paula Hawkins,"Hawkins, Paula",,"=""1594633665""","=""9781594633669""",3,3.89,Riverhead Books,Hardcover,323,2015,2015,2015/08/21,2015/08/20,,,read,Yet another missing wife story. ,,,1,,,0,,,,,
17331349,Think Like a Freak,Steven D. Levitt,"Levitt, Steven D.",Stephen J. Dubner,"=""0062218360""","=""9780062218360""",4,3.84,William Morrow,ebook,304,2014,2014,2015/08/11,2015/08/12,,,read,,,,1,,,0,,,,,
22571540,The Stranger,Harlan Coben,"Coben, Harlan",,"=""0525953507""","=""9780525953500""",3,3.86,Dutton,Hardcover,386,2015,2015,2015/07/25,2015/07/22,,,read,,,,1,,,0,,,,,
7501962,"Bonhoeffer: Pastor, Martyr, Prophet, Spy",Eric Metaxas,"Metaxas, Eric",,"=""1595551387""","=""9781595551382""",4,4.23,Thomas Nelson,Hardcover,608,2010,2009,2015/07/20,2013/03/28,,,read,,,,1,,,0,,,,,
20819682,Adultery,Paulo Coelho,"Coelho, Paulo",,"=""1101874082""","=""9781101874080""",4,3.03,Knopf,Hardcover,272,2014,2014,2015/07/01,2015/07/01,,,read,,,,1,,,0,,,,,
22453035,"Finders Keepers (Bill Hodges Trilogy, #2)",Stephen King,"King, Stephen",,"=""1501100130""","=""9781501100130""",0,4.03,Scribner,ebook,448,2015,2015,2015/06/27,2015/06/27,,,read,,,,1,,,0,,,,,
20800147,"Hope to Die (Alex Cross, #22)",James Patterson,"Patterson, James",,"=""178089015X""","=""9781780890159""",3,4.15,Century,Hardcover,374,2014,2014,2015/03/28,2015/03/28,,,read,,,,1,,,0,,,,,
16130549,"Doctor Sleep (The Shining, #2)",Stephen King,"King, Stephen",,"=""1476727651""","=""9781476727653""",4,4.10,Scribner,Hardcover,531,2013,2013,2015/03/27,2015/03/27,,,read,,,,1,,,0,,,,,
20929220,The Girl with the Big Fat Heart,Ajie Taduran,"Taduran, Ajie",,"=""""","=""""",0,5.00,Master Publishing,Kindle Edition,28,2014,2014,,2015/03/01,to-read,to-read (#9),to-read,,,,0,,,0,,,,,
18775247,"Mr. Mercedes (Bill Hodges Trilogy, #1)",Stephen King,"King, Stephen",,"=""1476754454""","=""9781476754451""",3,3.93,Scribner,Hardcover,436,2014,2014,2015/01/20,2015/01/18,,,read,"Yet another Stephen King novel to start the week. Only this time, it's not a horror story, not of the mystery and suspense type. More of a race-against-time page-turner, with characters fresh out of the cookie cutter. Which is very unusual coming from Mr. King. I'm sure I'll forget all about it in about a week or two.",,,1,,,0,,,,,
18143977,All the Light We Cannot See,Anthony Doerr,"Doerr, Anthony",,"=""1476746583""","=""9781476746586""",4,4.32,Scribner,Hardcover,531,2014,2014,2015/01/10,2015/01/10,,,read,beautiful,,,1,,,0,,,,,
20926278,Revival,Stephen King,"King, Stephen",,"=""1476770387""","=""9781476770383""",4,3.76,Scribner Book Company,Hardcover,405,2014,2014,2015/01/02,2015/01/01,,,read,<br/>Nothing like a fairly good Stephen King novel to start the New Year!,,,1,,,0,,,,,
20707959,Gray Mountain,John Grisham,"Grisham, John",,"=""038553714X""","=""9780385537148""",3,3.54,Doubleday,Hardcover,368,2014,2014,2014/11/17,2014/11/17,,,read,,,,1,,,0,,,,,
17333223,The Goldfinch,Donna Tartt,"Tartt, Donna",,"=""0316055433""","=""9780316055437""",0,3.89,"Little, Brown",Hardcover,771,2013,2013,2014/08/21,2014/06/15,,,read,,,,1,,,0,,,,,
18113886,The Hanging Judge,Michael Ponsor,"Ponsor, Michael",,"=""1480441945""","=""9781480441941""",3,3.76,Open Road Media E-riginal,Paperback,473,2013,2013,2014/07/03,2014/07/03,,,read,,,,1,,,0,,,,,
18079776,The Invention of Wings,Sue Monk Kidd,"Kidd, Sue Monk",,"=""0670024783""","=""9780670024780""",0,4.23,Viking,Hardcover,384,2014,2014,,2014/06/15,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
18478222,Twelve Years a Slave,Solomon Northup,"Northup, Solomon",,"=""""","=""9780989794800""",0,4.17,Eakin Films & Publishing,ebook,363,2013,1853,,2014/04/07,currently-reading,currently-reading (#9),currently-reading,,,,1,,,0,,,,,
17465450,The Husband's Secret,Liane Moriarty,"Moriarty, Liane",,"=""1405911662""","=""9781405911665""",3,3.93,Penguin Books,Paperback,402,2013,2013,2014/03/31,2014/03/01,,,read,Wimpy guys. Emotional women. Lame ending.,,,1,,,0,,,,,
16167080,A Delicate Truth,John le Carré,"Carré, John le",,"=""067092279X""","=""9780670922796""",4,3.76,Viking,Hardcover,320,2013,2013,2014/02/27,2014/02/15,,,read,,,,1,,,0,,,,,
10365,Where the Red Fern Grows,Wilson Rawls,"Rawls, Wilson",,"=""0375806814""","=""9780375806810""",0,4.05,Yearling,Mass Market Paperback,272,2000,1961,,2014/02/27,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
17288661,"Sycamore Row (Jake Brigance, #2)",John Grisham,"Grisham, John",,"=""0385537131""","=""9780385537131""",4,3.99,Doubleday,Hardcover,447,2013,2013,2014/02/01,2014/01/31,,,read,,,,1,,,0,,,,,
66559,Sharp Objects,Gillian Flynn,"Flynn, Gillian",,"=""0307341542""","=""9780307341549""",4,3.93,Shaye Areheart Books,Hardcover,254,2006,2006,2014/01/01,2013/12/30,,,read,Deliciously sick but kinda got predictable and hurried towards the end.,,,1,,,0,,,,,
255463,Systematic Theology,Louis Berkhof,"Berkhof, Louis",,"=""0851510566""","=""9780851510569""",0,4.13,The Banner of Truth Trust,Hardcover,784,1996,1939,,2013/12/31,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
13533740,Thomas Jefferson: The Art of Power,Jon Meacham,"Meacham, Jon",,"=""1400067669""","=""9781400067664""",0,3.99,Random House,Hardcover,759,2012,2012,,2013/12/31,currently-reading,currently-reading (#8),currently-reading,,,,1,,,0,,,,,
19063,The Book Thief,Markus Zusak,"Zusak, Markus",,"=""0375831002""","=""9780375831003""",4,4.36,Alfred A. Knopf,Hardcover,552,2006,2005,2013/12/30,2013/12/26,,,read,,,,1,,,0,,,,,
17225311,Tampa,Alissa Nutting,"Nutting, Alissa",,"=""0062280562""","=""9780062280565""",3,3.36,Ecco,ebook,272,2013,2013,,2013/12/13,,,read,,,,1,,,0,,,,,
9266391,God Has a Wonderful Plan for Your Life: The Myth of the Modern Message,Ray Comfort,"Comfort, Ray",,"=""1878859498""","=""9781878859495""",4,4.35,Living Waters,Paperback,128,2010,2000,2013/10/14,2013/10/13,,,read,,,,1,,,0,,,,,
16158563,The Bookman’s Tale,Charlie Lovett,"Lovett, Charlie",,"=""0670026476""","=""9780670026470""",4,3.75,Viking,Hardcover,355,2013,2013,2013/10/06,2013/10/06,,,read,,,,1,,,0,,,,,
3421391,The Necessity of Prayer,E.M. Bounds,"Bounds, E.M.",,"=""0883681390""","=""9780883681398""",0,4.04,Whitaker Distribution,Paperback,144,1987,1984,,2013/08/24,currently-reading,currently-reading (#7),currently-reading,,,,1,,,0,,,,,
17568801,Zealot: The Life and Times of Jesus of Nazareth,Reza Aslan,"Aslan, Reza",,"=""140006922X""","=""9781400069224""",0,3.84,Random House (NY),Hardcover,296,2013,2013,,2013/08/03,currently-reading,currently-reading (#6),currently-reading,,,,1,,,0,,,,,
12954783,Unholy Night,Seth Grahame-Smith,"Grahame-Smith, Seth",,"=""""","=""""",3,3.83,,Paperback,270,2012,2012,2013/08/10,2013/08/06,,,read,,,,1,,,0,,,,,
15791154,"The Hit (Will Robie, #2)",David Baldacci,"Baldacci, David",,"=""1455521213""","=""9781455521210""",3,4.07,Grand Central Publishing,Hardcover,392,2013,2013,2013/08/01,2013/07/23,,,read,just couldn't get excited over it. took a bit effort just to finish.,,,1,,,0,,,,,
8442457,Gone Girl,Gillian Flynn,"Flynn, Gillian",,"=""0297859382""","=""9780297859383""",4,4.05,Weidenfeld & Nicolson,Hardcover,399,2012,2012,2013/07/23,2013/03/28,,,read,,,,1,,,0,,,,,
6432275,Witnessing to the Cults,Alex Wilson,"Wilson, Alex",,"=""""","=""""",4,4.00,,,287,,,2013/07/13,2013/04/08,,,read,needs to be updated,,,1,,,0,,,,,
14879983,The Bible & Its Interpretation,Weldon E. Viertel,"Viertel, Weldon E.",,"=""0311722016""","=""9780311722013""",4,4.50,Casa Bautista de Publicaciones,Paperback,151,,,2013/07/13,2013/04/15,,,read,,,,1,,,0,,,,,
17212231,"Inferno (Robert Langdon, #4)",Dan Brown,"Brown, Dan",,"=""0385537859""","=""9780385537858""",4,3.82,Doubleday,Hardcover,461,2013,2013,2013/07/01,2013/06/25,,,read,,,,1,,,0,,,,,
6320534,Under the Dome,Stephen King,"King, Stephen",,"=""1439148503""","=""9781439148501""",3,3.90,Scribner,Hardcover,1074,2009,2009,2013/06/25,2013/06/08,,,read,,,,1,,,0,,,,,
